はんにん	犯人	criminal	会L21
ひ	日	day	会L16
ヒーター		heater	会L17
〜ひき	〜匹	[counter for smaller animals]	会L14
ひきだし	引き出し	withdrawal	会L13(e)
ひげ		beard	会L17
ひげをそる		to shave one's beard [u]	会L17
ひっかく		to scratch [u]	読L20-II
びっくりする		to be surprised [irr.]	会L21
ひっこし	引っ越し	moving	読L18-III
ひっこす	引っ越す	to move (to another place to live) [u]	会L19
ひどい		awful	会L21
ひとりぐらし	一人暮らし	living alone	会L22
ひみつ	秘密	secret	会L17
ひょうじょう	表情	expression	読L23-II
ひるねをする	昼寝をする	to take a nap [irr.]	会L21
ひろう	拾う	to pick up (something) [u]	会L22
びんぼう(な)	貧乏	poor	会L22
ファイル		(file) folder; portfolio; file	会L16
ふあん(な)	不安	anxious; worried	会L18
ブーツ		boots	会L17
プール		swimming pool	会L15
ぶか	部下	subordinate	会L22
ふくしゅう	復習	review of a lesson	会L22
ふくろ	袋	bag; sack; plastic/paper bag	会L23
ふしぎ(な)	不思議	mysterious	会L20
ぶちょう	部長	department manager	会L19
ふつか	二日	two days	会L13
ぶっか	物価	consumer prices	会L13
ふつかかん	二日間	for two days	読L22-II
ふべん(な)	不便	inconvenient	読L21-II
ふむ	踏む	to step on [u]	会L21
ふりこみ	振込	bank transfer	会L13(e)
プリン		pudding	読L13-III
ふる		to turn down (somebody); to reject; to jilt [u]	会L21
プロジェクト		project	会L22
プロポーズする		to propose marriage [irr.]	会L14
フロント		receptionist; front desk	会L15(e)
ぶんぽう	文法	grammar	会L13
ぶんや	分野	field; realm	読L17-II
へいわ	平和	peace	読L15-II
へいわきねんしりょうかん	平和記念資料館	Peace Memorial Museum	読L15-II
ペット		pet	会L15
ヘッドホン		headphones	会L20
ぺらぺら		fluent	会L22
へん(な)	変	strange; unusual	会L21
べんごし	弁護士	lawyer	会L13
へんじ	返事	reply	会L16
へんぴんする	返品する	to return (merchandise) [irr.]	会L20
ほ(う)っておく	放っておく	to leave (someone/something) alone; to neglect [u]	会L22
ボール		ball	会L22
ほかの	他の	other	会L16
ポケット		pocket	読L16-II
ほけん	保険	insurance	会L15
ほけんにはいる	保険に入る	to buy insurance [u]	会L15
ほしい	欲しい	to want	会L14
ぼしゅう	募集	recruitment	会L13
ポスター		poster	会L21
ポップコーン		popcorn	会L18
ほめる		to praise; to say nice things [ru]	会L21
ボランティア		volunteer	会L15
ホワイトデー		"White Day" (yet another gift-giving day)	会L14
〜ほん	〜本	[counter for long objects]	会L14
ぼんおどり	盆踊り	Bon dance (Japanese traditional dance)	会L23
ほんとうに	本当に	really	会L18
ほんとうは	本当は	in fact; originally	会L19
ほんやくする	翻訳する	to translate [irr.]	会L22
まいあさ	毎朝	every morning	会L19
まいつき	毎月	every month	読L18-III
まいる	参る	extra-modest expression for いく and くる [u]	会L20
まえ	前	before ...	会L17
まがる	曲がる	to turn (right/left) [u]	会L20
まける	負ける	to lose (a match) [ru]	会L22
まことに	誠に	really (very polite)	会L20
まじめ(な)		serious; sober; diligent	会L19
まず		first of all	会L18
まずい		(food is) terrible	会L23
また		again	会L20
また		in addition	読L16-II
まだ		still	会L19
またせる	待たせる	to keep (someone) waiting [ru]	会L20
まちあわせをする	待ち合わせをする	to meet up [irr.]	読L15-II
まちがい	間違い	mistake	会L19
まちがえる	間違える	to make a mistake [ru]	会L21
