245	様	19	よう	さま	Mr.; Ms.; condition	〜様(〜さま)=Mr./Ms. ...;お客様(おきゃくさま)=customer (respectful);皆様(みなさま)=everyone;様子(ようす)=manner
246	不	19	ふ/ぶ		negative; non-	不安な(ふあんな)=anxious, worried;不景気(ふけいき)=recession;不便(ふべん)=inconvenience;水不足(みずぶそく)=lack of water
247	姉	19	し	あね/ねえ	older sister	姉(あね)=older sister;お姉さん(おねえさん)=older sister;姉妹(しまい)=sisters;姉妹都市(しまいとし)=sister city
248	兄	19	きょう	あに/にい	older brother	兄(あに)=older brother;お兄さん(おにいさん)=older brother;兄弟(きょうだい)=brothers
249	漢	19	かん		China	漢字(かんじ)=Chinese character;漢方薬(かんぽうやく)=Chinese herbal medicine;漢和辞典(かんわじてん)=kanji dictionary
250	卒	19	そつ		to graduate	卒業する(そつぎょうする)=to graduate;卒業式(そつぎょうしき)=graduation ceremony;大卒(だいそつ)=university graduate
251	工	19	こう/く		craft; construction	工学(こうがく)=engineering;工事(こうじ)=construction;工場(こうじょう)=factory;大工(だいく)=carpenter
252	研	19	けん	と	to polish; study	研究(けんきゅう)=research;研究者(けんきゅうしゃ)=researcher;研修(けんしゅう)=training;研ぐ(とぐ)=to sharpen
253	究	19	きゅう	きわ	research	研究(けんきゅう)=research;探究(たんきゅう)=inquiry;究める(きわめる)=to investigate thoroughly
254	質	19	しつ/しち		quality; matter	質問(しつもん)=question;質がいい(しつがいい)=good quality;素質(そしつ)=aptitude;質屋(しちや)=pawn shop
255	問	19	もん	と	question	質問(しつもん)=question;問題(もんだい)=problem, question;訪問(ほうもん)=visit;問う(とう)=to question
256	多	19	た	おお	many; much	多い(おおい)=many;多分(たぶん)=probably;多くの〜(おおくの〜)=many;多数決(たすうけつ)=decision by majority
257	皿	20		さら/ざら	plate	皿(さら)=plate, dish;紙皿(かみざら)=paper plate;灰皿(はいざら)=ashtray
258	声	20	せい	こえ	voice	声(こえ)=voice;音声学(おんせいがく)=phonetics;擬声語(ぎせいご)=onomatopoeia;声優(せいゆう)=voice actor
259	茶	20	ちゃ/さ		tea	お茶(おちゃ)=Japanese tea;茶店(ちゃみせ)=teahouse;紅茶(こうちゃ)=black tea;茶色(ちゃいろ)=brown;喫茶店(きっさてん)=cafe
260	止	20	し	と	to stop	止まる(とまる)=(something) stops;中止する(ちゅうしする)=to cancel;禁止する(きんしする)=to prohibit
261	枚	20	まい		sheet of ...	一枚(いちまい)=one sheet;枚数(まいすう)=number of flat things
262	両	20	りょう		both	三両(さんりょう)=three ryoo;両親(りょうしん)=parents;両手(りょうて)=both hands;両替(りょうがえ)=exchange;両方(りょうほう)=both
263	無	20	む/ぶ	な	none	無理な(むりな)=impossible;無駄な(むだな)=wasteful;無料(むりょう)=free of charge;無礼な(ぶれいな)=rude;無い(ない)=there is no ...
264	払	20		はら/ばら	to pay	払う(はらう)=to pay;支払い(しはらい)=payment;払い戻し(はらいもどし)=refund;分割払い(ぶんかつばらい)=payment in installments
